pipeline_vec,dataset_name,action,attempts_to_pass,passed,util_if_pass
"[8, 4, 1]",adult,Similarity,1,True,0.05430101547522716
"[8, 4, 1]",adult,Prediction,1,True,0.05430101547522716
"[8, 5, 1]",adult,Similarity,1,True,0.05430101547522716
"[8, 5, 1]",adult,Prediction,1,True,0.05430101547522716
"[9, 1, 1]",adult,Similarity,2,True,0.05430101547522716
"[9, 1, 1]",adult,Prediction,1,True,0.05430101547522716
"[9, 2, 1]",adult,Similarity,1,True,0.05430101547522716
"[9, 2, 1]",adult,Prediction,1,True,0.05430101547522716
"[9, 3, 1]",adult,Similarity,1,True,0.05430101547522716
"[9, 3, 1]",adult,Prediction,1,True,0.05430101547522716
"[9, 4, 1]",adult,Similarity,1,True,0.05430101547522716
"[9, 4, 1]",adult,Prediction,1,True,0.05430101547522716
"[9, 5, 1]",adult,Similarity,1,True,0.05430101547522716
"[9, 5, 1]",adult,Prediction,1,True,0.05430101547522716
